Country,Population,,,Total Fertility Rate,Literacy rate adult total(% of people ages 15 and above) [46],Life Expectancy at birth (Total Years) [2019] [47],,Country,Population,GDP (Current US$)(Millions) [20,GDP per Capita (Current US$) [2019],Total Fertility Rate,Literacy rate adult total (% of people ages 15 and above),Life Expectancy at birth (Total Years) [2019]
Brunei Darussalam,433285,$13469.42,$31086.80,1.8,97,76,,Brunei Darussalam,433285,$13469.42,$31086.8,1.8,97,76
Cambodia,16486542,$27089.39,$1643.10,2.5,81,70,,Singapore,5804337,$372062.53,$65233.3,1.1,97,83
Indonesia,270625568,$1119190.78,$4135.60,2.3,96,72,,Laos,7169455,$18173.84,$2534.9,2.6,85,68
Laos,7169455,$18173.84,$2534.90,2.6,85,68,,Cambodia,16486542,$27089.39,$1643.1,2.5,81,70
Malaysia,31949777,$364681.37,$11414.20,2,95,76,,Malaysia,31949777,$364681.37,$11414.2,2,95,76
Myanmar,54045420,$76085.85,$1407.80,2.1,76,67,,Myanmar,54045420,$76085.85,$1407.8,2.1,76,67
Philippines,108116615,$376795.51,$3485.10,2.5,98,71,,Thailand,69037513,$543548.97,$7806.7,1.5,94,77
Singapore,5804337,$372062.53,$65233.30,1.1,97,83,,Vietnam,96462106,$261921.24,$2715.3,2,95,75
Thailand,69037513,$543548.97,$7806.70,1.5,94,77,,Philippines,108116615,$376795.51,$3485.1,2.5,98,71
Vietnam,96462106,$261921.24,$2715.30,2,95,75,,Indonesia,270625568,$1119190.78,$4135.6,2.3,96,72
ASEAN,660130618,$3173018.90,$4809.70,2.17,94,72.6,,ASEAN,660130618,$3173018.90,$4809.7,2.17,94,72.6